automotive-1_0,Automotive,Automotive,1,0,N/A
automotive-1_1,Automotive,Automotive,1,1,offer-56
automotive-1_2,Automotive,Automotive,1,2,N/A
baby-1_3,Baby,Baby,1,3,offer-25
baby-1_4,Baby,Baby,1,4,N/A
baby-1_5,Baby,Baby,1,5,N/A
beauty-1_6,Beauty,Beauty,1,6,offer-59
beauty-1_7,Beauty,Beauty,1,7,offer-85
beauty-1_8,Beauty,Beauty,1,8,N/A
books-1_9,Books,Books,1,9,offer-53
books-1_10,Books,Books,1,10,N/A
books-1_11,Books,Books,1,11,offer-54
beer-1_12,Beer,Beer,1,12,N/A
beer-1_13,Beer,Beer,1,13,offer-8
beer-1_14,Beer,Beer,1,14,N/A
automotive-1_15,Automotive,Automotive,1,15,N/A
beer-1_29,Beer,Beer,1,29,offer-68
automotive-1_30,Automotive,Automotive,1,30,N/A
baby-1_33,Baby,Baby,1,33,offer-21
baby-1_34,Baby,Baby,1,34,N/A
beauty-1_36,Beauty,Beauty,1,36,N/A
beauty-1_37,Beauty,Beauty,1,37,offer-55
beauty-1_38,Beauty,Beauty,1,38,N/A
books-1_41,Books,Books,1,41,offer-20
beer-1_44,Beer,Beer,1,44,offer-52
clothing-1_45,Clothing,Clothing,1,45,N/A
computers-1_48,Computers,Computers,1,48,N/A
computers-1_49,Computers,Computers,1,49,offer-48
electronics-1_51,Electronics,Electronics,1,51,offer-30
fancy-1_56,Fancy,Fancy,1,56,offer-69
games-1_59,Games,Games,1,59,N/A
clothing-1_60,Clothing,Clothing,1,60,N/A
computers-1_63,Computers,Computers,1,63,offer-55
computers-1_64,Computers,Computers,1,64,offer-29
electronics-1_66,Electronics,Electronics,1,66,offer-40
electronics-1_68,Electronics,Electronics,1,68,offer-29
fancy-1_70,Fancy,Fancy,1,70,N/A
fancy-1_71,Fancy,Fancy,1,71,offer-76
games-1_74,Games,Games,1,74,N/A
clothing-1_75,Clothing,Clothing,1,75,offer-61
computers-1_78,Computers,Computers,1,78,offer-3
