automotive-1_0,Coupon for Automotive,For your next purchase of Automotive you have 10% discount,2551001197000,automotive-1_0,5000.0
baby-1_3,Coupon for Baby,For your next purchase of Baby you have 10% discount,2551001197000,baby-1_3,5000.0
baby-1_4,Coupon for Baby,For your next purchase of Baby you have 10% discount,2551001197000,baby-1_4,5000.0
baby-1_5,Coupon for Baby,For your next purchase of Baby you have 10% discount,2551001197000,baby-1_5,5000.0
beauty-1_8,Coupon for Beauty,For your next purchase of Beauty you have 10% discount,2551001197000,beauty-1_8,5000.0
beer-1_12,Coupon for Beer,For your next purchase of Beer you have 10% discount,2551001197000,beer-1_12,5000.0
beer-1_29,Coupon for Beer,For your next purchase of Beer you have 10% discount,2551001197000,beer-1_29,5000.0
automotive-1_30,Coupon for Automotive,For your next purchase of Automotive you have 10% discount,2551001197000,automotive-1_30,5000.0
baby-1_33,Coupon for Baby,For your next purchase of Baby you have 10% discount,2551001197000,baby-1_33,5000.0
baby-1_34,Coupon for Baby,For your next purchase of Baby you have 10% discount,2551001197000,baby-1_34,5000.0
beauty-1_38,Coupon for Beauty,For your next purchase of Beauty you have 10% discount,2551001197000,beauty-1_38,5000.0
beer-1_44,Coupon for Beer,For your next purchase of Beer you have 10% discount,2551001197000,beer-1_44,5000.0
electronics-1_51,Coupon for Electronics,For your next purchase of Electronics you have 10% discount,2551001197000,electronics-1_51,5000.0
computers-1_63,Coupon for Computers,For your next purchase of Computers you have 10% discount,2551001197000,computers-1_63,5000.0
computers-1_64,Coupon for Computers,For your next purchase of Computers you have 10% discount,2551001197000,computers-1_64,5000.0
electronics-1_66,Coupon for Electronics,For your next purchase of Electronics you have 10% discount,2551001197000,electronics-1_66,5000.0
fancy-1_70,Coupon for Fancy,For your next purchase of Fancy you have 10% discount,2551001197000,fancy-1_70,5000.0
fancy-1_71,Coupon for Fancy,For your next purchase of Fancy you have 10% discount,2551001197000,fancy-1_71,5000.0
games-1_89,Coupon for Games,For your next purchase of Games you have 10% discount,2551001197000,games-1_89,5000.0
garden-1_90,Coupon for Garden,For your next purchase of Garden you have 10% discount,2551001197000,garden-1_90,5000.0
home-1_101,Coupon for Home,For your next purchase of Home you have 10% discount,2551001197000,home-1_101,5000.0
industrial-1_102,Coupon for Industrial,For your next purchase of Industrial you have 10% discount,2551001197000,industrial-1_102,5000.0
garden-1_105,Coupon for Garden,For your next purchase of Garden you have 10% discount,2551001197000,garden-1_105,5000.0
grocery-1_108,Coupon for Grocery,For your next purchase of Grocery you have 10% discount,2551001197000,grocery-1_108,5000.0
health-1_111,Coupon for Health,For your next purchase of Health you have 10% discount,2551001197000,health-1_111,5000.0
health-1_112,Coupon for Health,For your next purchase of Health you have 10% discount,2551001197000,health-1_112,5000.0
health-1_113,Coupon for Health,For your next purchase of Health you have 10% discount,2551001197000,health-1_113,5000.0
grocery-1_124,Coupon for Grocery,For your next purchase of Grocery you have 10% discount,2551001197000,grocery-1_124,5000.0
kids-1_139,Coupon for Kids,For your next purchase of Kids you have 10% discount,2551001197000,kids-1_139,5000.0
music-1_146,Coupon for Music,For your next purchase of Music you have 10% discount,2551001197000,music-1_146,5000.0
cooking-1_148,Coupon for Cooking,For your next purchase of Cooking you have 10% discount,2551001197000,cooking-1_148,5000.0
jewelery-1_150,Coupon for Jewelery,For your next purchase of Jewelery you have 10% discount,2551001197000,jewelery-1_150,5000.0
cooking-1_164,Coupon for Cooking,For your next purchase of Cooking you have 10% discount,2551001197000,cooking-1_164,5000.0
jewelery-1_165,Coupon for Jewelery,For your next purchase of Jewelery you have 10% discount,2551001197000,jewelery-1_165,5000.0
sports-1_184,Coupon for Sports,For your next purchase of Sports you have 10% discount,2551001197000,sports-1_184,5000.0
tools-1_189,Coupon for Tools,For your next purchase of Tools you have 10% discount,2551001197000,tools-1_189,5000.0
tools-1_190,Coupon for Tools,For your next purchase of Tools you have 10% discount,2551001197000,tools-1_190,5000.0
toys-1_192,Coupon for Toys,For your next purchase of Toys you have 10% discount,2551001197000,toys-1_192,5000.0
toys-1_193,Coupon for Toys,For your next purchase of Toys you have 10% discount,2551001197000,toys-1_193,5000.0
toys-1_194,Coupon for Toys,For your next purchase of Toys you have 10% discount,2551001197000,toys-1_194,5000.0
shoes-1_195,Coupon for Shoes,For your next purchase of Shoes you have 10% discount,2551001197000,shoes-1_195,5000.0
sports-1_213,Coupon for Sports,For your next purchase of Sports you have 10% discount,2551001197000,sports-1_213,5000.0
sports-1_214,Coupon for Sports,For your next purchase of Sports you have 10% discount,2551001197000,sports-1_214,5000.0
sports-1_215,Coupon for Sports,For your next purchase of Sports you have 10% discount,2551001197000,sports-1_215,5000.0
snacks-1_216,Coupon for Snacks,For your next purchase of Snacks you have 10% discount,2551001197000,snacks-1_216,5000.0
snacks-1_217,Coupon for Snacks,For your next purchase of Snacks you have 10% discount,2551001197000,snacks-1_217,5000.0
snacks-1_218,Coupon for Snacks,For your next purchase of Snacks you have 10% discount,2551001197000,snacks-1_218,5000.0
tools-1_220,Coupon for Tools,For your next purchase of Tools you have 10% discount,2551001197000,tools-1_220,5000.0
toys-1_223,Coupon for Toys,For your next purchase of Toys you have 10% discount,2551001197000,toys-1_223,5000.0
toys-1_224,Coupon for Toys,For your next purchase of Toys you have 10% discount,2551001197000,toys-1_224,5000.0
automotive-2_1,Coupon for Automotive,For your next purchase of Automotive you have 10% discount,2551001197000,automotive-2_1,5000.0
baby-2_5,Coupon for Baby,For your next purchase of Baby you have 10% discount,2551001197000,baby-2_5,5000.0
beauty-2_6,Coupon for Beauty,For your next purchase of Beauty you have 10% discount,2551001197000,beauty-2_6,5000.0
beauty-2_7,Coupon for Beauty,For your next purchase of Beauty you have 10% discount,2551001197000,beauty-2_7,5000.0
books-2_10,Coupon for Books,For your next purchase of Books you have 10% discount,2551001197000,books-2_10,5000.0
books-2_11,Coupon for Books,For your next purchase of Books you have 10% discount,2551001197000,books-2_11,5000.0
beer-2_14,Coupon for Beer,For your next purchase of Beer you have 10% discount,2551001197000,beer-2_14,5000.0
automotive-2_15,Coupon for Automotive,For your next purchase of Automotive you have 10% discount,2551001197000,automotive-2_15,5000.0
baby-2_20,Coupon for Baby,For your next purchase of Baby you have 10% discount,2551001197000,baby-2_20,5000.0
beauty-2_22,Coupon for Beauty,For your next purchase of Beauty you have 10% discount,2551001197000,beauty-2_22,5000.0
books-2_24,Coupon for Books,For your next purchase of Books you have 10% discount,2551001197000,books-2_24,5000.0
beer-2_29,Coupon for Beer,For your next purchase of Beer you have 10% discount,2551001197000,beer-2_29,5000.0
